t,aerospike,bell
4.3,754.8572309,721.8654255
4.31,758.4005167,725.2575942
4.32,761.9520647,728.6576828
4.33,765.5118749,732.0656894
4.34,769.0799474,735.4816138
4.35,772.6562823,738.905456
4.36,776.2408796,742.3372157
4.37,779.8337395,745.7768927
4.38,783.4348621,749.224487
4.39,787.0442477,752.6799982
4.4,790.6618966,756.1434262
4.41,794.2878091,759.6147709
4.42,797.9219855,763.094032
4.43,801.5644261,766.5812094
4.44,805.2151311,770.0763029
4.45,808.8741009,773.5793126
4.46,812.5413358,777.0902384
4.47,816.216836,780.6090806
4.48,819.9006019,784.1358392
4.49,823.5926337,787.6705143
4.5,827.2929319,791.2131059
4.51,831.0014966,794.7636142
4.52,834.7183282,798.3220392
4.53,838.4434271,801.888381
4.54,842.1767936,805.4626396
4.55,845.9184279,809.0448152
4.56,849.6683305,812.6349079
4.57,853.4265015,816.232918
4.58,857.1929415,819.8388456
4.59,860.9676507,823.4526912
4.6,864.7506293,827.0744551
4.61,868.5418778,830.7041374
4.62,872.3413961,834.3417386
4.63,876.1491845,837.9872589
4.64,879.9652433,841.6406987
4.65,883.7895724,845.3020581
4.66,887.6221723,848.9713377
4.67,891.4630429,852.6485375
4.68,895.3121846,856.3336581
4.69,899.1695975,860.0266996
4.7,903.0352818,863.7276624
4.71,906.9092377,867.4365469
4.72,910.7914651,871.1533533
4.73,914.6819638,874.8780819
4.74,918.5807334,878.6107332
4.75,922.4877736,882.3513075
4.76,926.4030842,886.099805
4.77,930.3266648,889.8562261
4.78,934.2585152,893.6205712
4.79,938.1986349,897.3928406
4.8,942.1470238,901.1730345
4.81,946.1036814,904.9611532
4.82,950.0686075,908.7571969
4.83,954.0418018,912.5611657
4.84,958.0232639,916.3730599
4.85,962.0129936,920.1928796
4.86,966.0109905,924.0206251
4.87,970.0172546,927.8562964
4.88,974.0317853,931.699894
4.89,978.0545825,935.5514178
4.9,982.0856458,939.4108682
4.91,986.124975,943.2782453
4.92,990.1725698,947.153549
4.93,994.2284298,951.0367792
4.94,998.2925548,954.9279356
4.95,1002.364944,958.8270178
4.96,1006.445599,962.7340256
4.97,1010.534517,966.6489587
4.98,1014.631699,970.5718169
4.99,1018.737145,974.5025998
5,1022.850854,978.4413072
