        p           t         gam         rho          mw
   1.4673E+01  3.1255E+03  1.1463E+00  1.5169E+00  2.6866E+01
   2.6200E+01  3.3177E+03  1.1482E+00  2.5218E+00  2.6551E+01
   1.5068E+01  3.1278E+03  1.1465E+00  1.5570E+00  2.6872E+01
   2.6889E+01  3.3203E+03  1.1484E+00  2.5866E+00  2.6557E+01
   1.5464E+01  3.1299E+03  1.1467E+00  1.5970E+00  2.6877E+01
   2.7579E+01  3.3229E+03  1.1485E+00  2.6515E+00  2.6562E+01
   1.5859E+01  3.1320E+03  1.1469E+00  1.6371E+00  2.6882E+01
   2.1374E+01  3.2975E+03  1.1456E+00  2.0782E+00  2.6658E+01
   1.2308E+01  3.1142E+03  1.1430E+00  1.2829E+00  2.6989E+01
   2.2063E+01  3.3008E+03  1.1458E+00  2.1437E+00  2.6665E+01
   1.2704E+01  3.1169E+03  1.1432E+00  1.3233E+00  2.6995E+01
   2.2753E+01  3.3040E+03  1.1459E+00  2.2091E+00  2.6672E+01
   1.3100E+01  3.1195E+03  1.1434E+00  1.3638E+00  2.7002E+01
   2.3442E+01  3.3071E+03  1.1461E+00  2.2745E+00  2.6679E+01
   1.3496E+01  3.1221E+03  1.1436E+00  1.4041E+00  2.7008E+01
   2.4132E+01  3.3101E+03  1.1463E+00  2.3399E+00  2.6686E+01
   1.3892E+01  3.1246E+03  1.1438E+00  1.4445E+00  2.7014E+01
   2.4821E+01  3.3130E+03  1.1465E+00  2.4052E+00  2.6692E+01
   1.4288E+01  3.1270E+03  1.1440E+00  1.4849E+00  2.7020E+01
   2.5511E+01  3.3158E+03  1.1467E+00  2.4704E+00  2.6698E+01
   1.4684E+01  3.1294E+03  1.1442E+00  1.5252E+00  2.7026E+01
   2.6200E+01  3.3186E+03  1.1468E+00  2.5357E+00  2.6704E+01
   1.5080E+01  3.1317E+03  1.1444E+00  1.5655E+00  2.7031E+01
   2.6889E+01  3.3213E+03  1.1470E+00  2.6008E+00  2.6710E+01
