x,y,M,mu,V,theta,T,p,a,rho
4.032373790042166790e-03,-5.340361772272304852e-02,2.265261392549479780e+00,4.572141929517546943e-01,6.545407975228682744e+02,5.521318808129582756e-01,1.760785600485148507e+03,2.599792744314626616e+05,2.889471385843924622e+02,4.557884957941635284e-01
4.087121165926999554e-03,-5.339840556623372259e-02,2.283780217137825641e+00,4.532286675739251036e-01,6.578529684909773323e+02,5.419340309486115892e-01,1.749922221341552813e+03,2.517157292255277280e+05,2.880544123967582664e+02,4.440406384592928690e-01
4.142404091221144058e-03,-5.339348877132151644e-02,2.302298052539065498e+00,4.493150022141739197e-01,6.611343307315493121e+02,5.317801516051100519e-01,1.739105819283615801e+03,2.437001823498720478e+05,2.871627893714387483e+02,4.325745410947294256e-01
4.198231924630705519e-03,-5.338887445606903953e-02,2.320815143423264004e+00,4.454711415118732254e-01,6.643851584706239919e+02,5.216706605133542007e-01,1.728336999560062850e+03,2.359261466989919427e+05,2.862723299412111828e+02,4.213846945508216701e-01
4.254613884443152368e-03,-5.338456984323732002e-02,2.339331729177902108e+00,4.416951116159424373e-01,6.676057244945642424e+02,5.116059459679772603e-01,1.717616340336101757e+03,2.283872481730477593e+05,2.853830930293829056e+02,4.104656308350405625e-01
4.311559056356445083e-03,-5.338058226016845209e-02,2.357848044357577777e+00,4.379850159681475952e-01,6.707963001844715336e+02,5.015863680740473285e-01,1.706944393109472230e+03,2.210772270665908000e+05,2.844951360583703490e+02,3.998119265431038238e-01
4.369076400760538853e-03,-5.337691913869234417e-02,2.376364319103952738e+00,4.343390313573939343e-01,6.739571555437772759e+02,4.916122599380889913e-01,1.696321683139252627e+03,2.139899392106408486e+05,2.836085149594840118e+02,3.894182060661280365e-01
4.427174759515847650e-03,-5.337358801503861577e-02,2.394880779538310023e+00,4.307554042241485415e-01,6.770885592197695360e+02,4.816839288062848556e-01,1.685748709885780954e+03,2.071193568796346080e+05,2.827232841838164177e+02,3.792791445790125171e-01
4.485862862269309088e-03,-5.337059652975448959e-02,2.413397648128876583e+00,4.272324471959973446e-01,6.801907785197359999e+02,4.718016571525469049e-01,1.675225947460176712e+03,2.004595694747810776e+05,2.818394967141417737e+02,3.693894708156403861e-01
4.545149332344796712e-03,-5.336795242762930325e-02,2.431915144034852982e+00,4.237685358370278932e-01,6.832640794223425473e+02,4.619657037190027515e-01,1.664753845082067301e+03,1.940047839953189250e+05,2.809572040777383677e+02,3.597439696368104900e-01
4.605042692241372027e-03,-5.336566355762621672e-02,2.450433483428967829e+00,4.203621055952289631e-01,6.863087265848059815e+02,4.521763045112983104e-01,1.654332827544213842e+03,1.877493253090599028e+05,2.800764563600530437e+02,3.503374843970569752e-01
4.665551368769950760e-03,-5.336373787282152475e-02,2.468952879800174305e+00,4.170116489334652066e-01,6.893249833463675031e+02,4.424336737509740880e-01,1.643963295682835678e+03,1.816876362334671721e+05,2.791973022191328369e+02,3.411649191167323569e-01
4.726683697856078233e-03,-5.336218343035189354e-02,2.487473544237997825e+00,4.137157126308108612e-01,6.923131117285241771e+02,4.327380047870546531e-01,1.633645626852520991e+03,1.758142774383282231e+05,2.783197889007517460e+02,3.322212404658826390e-01
4.788447929034335068e-03,-5.336100839136984769e-02,2.505995685699918152e+00,4.104728952421294874e-01,6.952733724324343711e+02,4.230894709688606259e-01,1.623380175404681040e+03,1.701239271808601334e+05,2.774439622541673884e+02,3.235014795665516196e-01
4.850852229657456362e-03,-5.336022102100757697e-02,2.524519511263033866e+00,4.072818447047970580e-01,6.982060248338708561e+02,4.134882264819390585e-01,1.613167273168600332e+03,1.646113808838456753e+05,2.765698667484466569e+02,3.150007336202433894e-01
4.913904688841497920e-03,-5.335982968834927787e-02,2.543045226361162037e+00,4.041412560823691158e-01,7.011113269760583080e+02,4.039344071489158194e-01,1.603007229934199131e+03,1.592715505671249994e+05,2.756975454893018309e+02,3.067141673673046687e-01
4.977613321166468943e-03,-5.335984286641211327e-02,2.561573035008462007e+00,4.010498694358132776e-01,7.039895355607063721e+02,3.944281311969409232e-01,1.592900333935673871e+03,1.540994641424646834e+05,2.748270402363838230e+02,2.986370143849884640e-01
5.041986070150251964e-03,-5.336026913213583883e-02,2.580103140010525653e+00,3.980064678136831513e-01,7.068409059375106835e+02,3.849694999933370165e-01,1.582846852335279664e+03,1.490902645815427240e+05,2.739583914209829345e+02,2.907645782309757898e-01
5.107030811512190162e-03,-5.336111716638108210e-02,2.598635743163848932e+00,3.950098753532849671e-01,7.096656920923716143e+02,3.755585987509556523e-01,1.572847031706539838e+03,1.442392089664421219e+05,2.730916381640896020e+02,2.830922334390548745e-01
5.172755356241428952e-03,-5.336239575393636470e-02,2.617171045444506294e+00,3.920589554855061776e-01,7.124641466345581193e+02,3.661954972046581047e-01,1.562901098516245384e+03,1.395416674317314464e+05,2.722268182947713058e+02,2.756154263736184107e-01
5.239167453483850601e-03,-5.336411378353373564e-02,2.635709247186801552e+00,3.891526092365391043e-01,7.152365207830196141e+02,3.568802502602637094e-01,1.553009259604640874e+03,1.349931220068654802e+05,2.713639683688252831e+02,2.683296759495447104e-01
5.306274793260251470e-03,-5.336628024787309216e-02,2.654250548252559128e+00,3.862897736202545174e-01,7.179830643520230069e+02,3.476128986172533630e-01,1.543171702663263886e+03,1.305891653673031251e+05,2.705031236876681646e+02,2.612305742239410811e-01
5.374085009027678578e-03,-5.336890424365509783e-02,2.672795148191752457e+00,3.834694201154347781e-01,7.207040257362891680e+02,3.383934693664006343e-01,1.533388596709916328e+03,1.263254995023859519e+05,2.696443183174261549e+02,2.543137868660989009e-01
5.442605680094612236e-03,-5.337199497162261469e-02,2.691343246395015765e+00,3.806905532225229871e-01,7.233996518957642365e+02,3.292219765634974982e-01,1.523660092560320891e+03,1.221979343076840596e+05,2.687875851081942642e+02,2.475750535118984297e-01
5.511844333900083048e-03,-5.337556173661069103e-02,2.709895042238637863e+00,3.779522090949211099e-01,7.260701883401692385e+02,3.200984217802217979e-01,1.513986323296023329e+03,1.182023861091619474e+05,2.679329557134302604e+02,2.410101880087502091e-01
